#,字段分类,字段名称,字段标识,类型,必填,说明/示例,默认值
,基本信息,,,,,,,
1,基本信息,活动标题,title,文本,✅,例如：流瑜伽基础班,
2,基本信息,分类,category,下拉选择,✅,瑜伽/冥想/户外探险/文化艺术/美食体验/节庆活动/其他,其他
3,基本信息,状态,status,下拉选择,❌,草稿/待开始/进行中/已过期,草稿
4,基本信息,活动描述,description,多行文本,✅,活动的详细描述,
,时间信息 - 固定频率活动,,,,,,,
5,时间,星期,weekdays,多选复选框,⚠️,周一至周日（固定频率活动必选）,[]
6,时间,时间,fixedTime,文本,❌,例如：09:00-10:30,
7,时间,持续时间,duration,文本,❌,例如：1.5小时,
,时间信息 - 临时活动,,,,,,,
8,时间,具体日期,date,日期选择,❌,日期选择器 YYYY-MM-DD,
9,时间,时间,time,文本,❌,例如：09:00-10:30,
10,时间,持续时间,tempDuration,文本,❌,例如：1.5小时,
,地点信息,,,,,,,
11,地点,地点名称,location,文本,✅,例如：宁曼一号瑜伽馆,
12,地点,详细地址,address,文本,❌,完整的街道地址,
,价格信息,,,,,,,
13,价格,价格显示,price,文本,❌,例如：免费、500฿,
14,价格,最低价格,priceMin,数字,❌,数字类型，0表示免费,0
15,价格,最高价格,priceMax,数字,❌,数字类型,0
,参与信息,,,,,,,
16,参与,最大人数,maxParticipants,数字,❌,0表示不限制人数,0
,其他选项,,,,,,,
17,其他,灵活时间活动,flexibleTime,复选框,❌,勾选表示时间灵活,false
18,其他,需要预约,bookingRequired,复选框,❌,默认勾选,true
,图片信息,,,,,,,
19,图片,图片上传,-,文件上传,❌,拖拽上传，支持多张，最大5MB,[]
20,图片,手动输入图片URL,imageUrls,多行文本,❌,每行一个URL,
21,图片,图片数组,images,数组,❌,系统自动合并,[]
,其他,,,,,,,
22,其他,来源链接,sourceUrl,URL,❌,https://...,
23,其他,来源信息,source,对象,❌,系统自动生成,{}
24,其他,活动频率,frequency,文本,❌,weekly（固定频率）/ once（临时活动）,once
25,其他,活动ID,itemId,隐藏字段,❌,编辑活动时使用,
26,特殊功能,隐藏时间区间,hiddenDateBlock,对象,❌,格式：{"startDate":"2026-01-26","endDate":"2026-02-15","reason":"花卉节期间公园关闭"},{}
27,特殊功能,隐藏开始日期,hiddenStartDate,日期,❌,YYYY-MM-DD格式，
28,特殊功能,隐藏结束日期,hiddenEndDate,日期,❌,YYYY-MM-DD格式，
29,特殊功能,隐藏原因,hiddenReason,文本,❌,隐藏原因说明，
